Ensembl Gene ID	% GC content	Gene Start (bp)	Gene End (bp)
ENSMUSG00000065296	39.02	94184492	94184573
ENSMUSG00000097339	40.97	57612697	57625824
ENSMUSG00000052397	49.01	6738041	6782784
ENSMUSG00000038155	55.74	4040285	4042236
ENSMUSG00000046008	42.08	58670365	58681786
ENSMUSG00000046687	53.92	62071015	62072609
ENSMUSG00000025983	40.85	54250683	54368727
ENSMUSG00000022781	41.94	32016290	32079342
ENSMUSG00000061488	53.02	61309830	61310276
ENSMUSG00000061762	41.21	7554879	7565834
ENSMUSG00000098642	43.24	44668384	44668494
ENSMUSG00000044903	48.14	18718090	18727248
ENSMUSG00000056900	44.98	32817546	32938071
ENSMUSG00000087994	44.74	58704576	58704651
ENSMUSG00000059263	38.54	112023506	112111386
ENSMUSG00000099136	46.30	92075491	92075652
ENSMUSG00000082744	48.31	55305288	55306380
ENSMUSG00000103499	38.39	31644796	31690585
ENSMUSG00000023041	50.87	101676034	101680289
ENSMUSG00000098741	40.27	14529625	14530066
ENSMUSG00000098035	51.50	72989154	72990153
ENSMUSG00000021609	46.17	73536747	73578672
ENSMUSG00000058216	56.04	4057477	4059446
ENSMUSG00000083681	38.88	23717169	23718755
ENSMUSG00000021190	46.69	102394084	102439813
ENSMUSG00000105031	55.88	113767123	113767326
ENSMUSG00000046585	45.10	47937712	48035379
ENSMUSG00000018415	44.25	60417145	60450927
ENSMUSG00000025532	46.85	130029290	130060789
ENSMUSG00000008690	49.43	89355719	89372826
ENSMUSG00000099102	47.76	6835626	6837654
ENSMUSG00000089853	50.08	166379839	166380493
ENSMUSG00000033809	49.94	20605451	20610768
ENSMUSG00000043263	37.89	173630917	173647928
ENSMUSG00000098016	50.97	36234292	36235266
ENSMUSG00000050650	41.92	47334875	47354240
ENSMUSG00000051591	45.56	106740910	106741956
ENSMUSG00000021598	50.93	69809882	69816094
ENSMUSG00000099895	37.40	17741915	17805417
ENSMUSG00000000346	49.28	100615628	100620731
ENSMUSG00000081883	49.33	32880011	32880608
ENSMUSG00000056486	40.68	73610660	73775346
ENSMUSG00000081820	51.92	19783652	19784483
ENSMUSG00000101965	43.19	36568743	36573095
ENSMUSG00000105153	44.96	34699640	34716662
ENSMUSG00000101843	50.00	73185014	73185393
ENSMUSG00000035840	41.45	81657806	81671888
ENSMUSG00000104166	45.96	51636496	51636928
ENSMUSG00000085507	47.58	21372670	21373764
ENSMUSG00000037747	39.64	70557682	70655965
ENSMUSG00000102606	48.96	184617248	184617727
ENSMUSG00000080768	50.79	53967063	53967505
ENSMUSG00000032091	49.15	45172726	45204092
ENSMUSG00000082333	45.95	6861539	6862304
ENSMUSG00000058420	46.88	118381856	118443552
ENSMUSG00000050765	45.91	60211933	60212934
ENSMUSG00000104330	60.63	36695438	36696359
ENSMUSG00000100470	48.35	47390616	47391070
ENSMUSG00000057858	38.48	60198586	60226697
ENSMUSG00000094926	42.11	21379555	21379782
ENSMUSG00000060992	44.86	103272911	103299862
ENSMUSG00000021504	52.10	55599896	55610443
ENSMUSG00000041995	46.88	95325237	95337841
ENSMUSG00000093983	42.99	3136984	3137090
ENSMUSG00000096487	47.32	106885865	106886815
ENSMUSG00000103308	44.23	184610280	184629473
ENSMUSG00000103554	46.77	114875304	114875737
ENSMUSG00000054659	45.93	33174230	33189737
ENSMUSG00000099411	48.04	13514131	13521107
ENSMUSG00000080544	57.69	37149085	37149162
ENSMUSG00000074211	50.76	30321406	30323895
ENSMUSG00000094740	37.43	66851847	66852017
ENSMUSG00000073899	49.35	106914200	106915123
ENSMUSG00000093973	40.72	47426328	47452139
ENSMUSG00000103314	48.83	184695034	184695461
ENSMUSG00000063234	52.70	103308236	103310438
ENSMUSG00000065892	42.06	12665255	12665361
ENSMUSG00000074868	47.45	62035420	62036163
ENSMUSG00000085079	44.00	21383556	21386373
ENSMUSG00000099055	53.56	14566761	14567238
ENSMUSG00000103277	37.58	176179201	176181635
ENSMUSG00000071294	43.48	66864524	66865075
ENSMUSG00000081913	56.08	6507941	6508384
ENSMUSG00000106920	49.39	70007204	70007614
ENSMUSG00000099242	43.08	14548714	14549233
ENSMUSG00000042249	48.83	112910482	113015791
ENSMUSG00000079737	43.94	13671929	13678405
ENSMUSG00000030641	38.75	92857529	92874213
ENSMUSG00000085679	49.49	21390906	21391101
ENSMUSG00000000552	50.68	103313895	103340086
ENSMUSG00000095206	38.01	66851343	66851513
ENSMUSG00000081388	56.30	6539561	6540306
ENSMUSG00000094051	49.08	114879888	114880321
ENSMUSG00000100586	38.46	14560699	14562362
ENSMUSG00000083887	49.47	33201764	33201953
ENSMUSG00000034587	45.98	3452365	3479831
ENSMUSG00000059326	64.28	61224402	61228418
ENSMUSG00000098520	38.21	14616384	14616786
ENSMUSG00000000531	55.66	101224207	101232755
ENSMUSG00000034659	48.94	10870660	10882001
ENSMUSG00000005994	39.02	80834123	80851719
ENSMUSG00000003623	40.80	8966033	8997324
ENSMUSG00000070315	49.37	35116728	35130922
ENSMUSG00000100510	41.21	57304265	57320859
ENSMUSG00000036061	50.87	103153307	103158002
ENSMUSG00000081059	49.16	3470902	3471377
ENSMUSG00000085298	47.18	70227841	70234165
ENSMUSG00000025171	49.10	41981763	42034641
ENSMUSG00000093849	50.44	59977722	59978171
ENSMUSG00000047347	48.11	82516311	82519278
ENSMUSG00000058966	52.97	126816885	126830219
ENSMUSG00000087737	51.33	91559671	91559783
ENSMUSG00000081683	56.52	128600844	128604093
ENSMUSG00000034390	51.09	117257019	117461503
ENSMUSG00000098938	52.13	87795850	87795943
ENSMUSG00000028082	43.24	85971109	86130526
ENSMUSG00000054679	42.91	33208991	33233340
ENSMUSG00000091659	50.25	45172997	45175161
ENSMUSG00000025024	40.23	53379214	53390573
ENSMUSG00000098722	63.33	82407094	82407153
ENSMUSG00000041747	42.06	98246845	98262992
ENSMUSG00000065608	53.68	85706603	85706697
ENSMUSG00000020929	47.62	102838473	102880985
ENSMUSG00000039304	44.94	27317028	27342427
ENSMUSG00000087921	39.26	3798912	3799181
ENSMUSG00000095692	44.44	65559166	65559714
ENSMUSG00000032860	51.41	100996572	101011991
ENSMUSG00000077416	45.80	75759859	75759989
ENSMUSG00000088830	39.42	52496885	52496988
ENSMUSG00000022518	48.73	4835416	4867691
ENSMUSG00000088133	41.88	17935578	17935885
ENSMUSG00000103095	41.73	29771284	29771422
ENSMUSG00000064675	40.51	24820545	24820702
ENSMUSG00000021188	41.14	101834043	101913267
ENSMUSG00000026563	46.35	166379097	166393621
ENSMUSG00000105925	42.38	104957442	104958373
ENSMUSG00000064597	41.18	58041516	58041651
ENSMUSG00000105221	50.82	116998857	116999586
ENSMUSG00000065812	55.22	61357871	61358004
ENSMUSG00000035342	55.26	45015176	45027104
ENSMUSG00000099319	84.91	90224360	90224412
ENSMUSG00000091996	48.22	45182007	45250020
ENSMUSG00000088803	46.15	11965330	11965589
ENSMUSG00000018974	51.96	113742446	113772510
ENSMUSG00000077737	29.63	5118404	5118484
ENSMUSG00000052707	41.85	123123885	123195288
ENSMUSG00000041596	41.49	14530652	14622479
ENSMUSG00000095169	51.52	94681255	94681386
ENSMUSG00000080689	34.11	69685578	69685706
ENSMUSG00000102694	47.39	104021919	104024427
ENSMUSG00000066122	49.76	140690884	140691918
ENSMUSG00000095792	38.71	55262542	55262603
ENSMUSG00000074248	45.03	121670762	121682982
ENSMUSG00000039568	56.81	4874778	4880315
ENSMUSG00000087760	48.73	23646420	23646577
ENSMUSG00000037993	52.05	109548017	109565601
ENSMUSG00000056629	60.01	6977741	6980461
ENSMUSG00000093579	45.18	101913240	101915335
ENSMUSG00000089504	33.87	58143208	58143269
ENSMUSG00000061540	51.25	63362449	63365878
ENSMUSG00000021468	46.21	53332716	53377365
ENSMUSG00000103882	44.05	36710174	36711333
ENSMUSG00000042709	46.65	60400626	60418457
ENSMUSG00000059981	51.20	126865678	126884703
ENSMUSG00000065437	50.00	68341208	68341289
ENSMUSG00000093437	55.43	101906080	101906539
ENSMUSG00000088377	38.68	99133067	99133172
ENSMUSG00000026980	42.49	60292103	60383303
ENSMUSG00000051255	41.43	23675844	23676712
ENSMUSG00000104454	50.26	36733017	36734558
ENSMUSG00000027012	38.99	71211706	71263303
ENSMUSG00000095047	48.51	103853419	103853519
ENSMUSG00000079016	48.25	72213494	72213636
ENSMUSG00000094463	49.17	89577155	89578413
ENSMUSG00000051548	54.70	11877615	11878358
ENSMUSG00000022684	43.50	13671858	13703612
ENSMUSG00000089564	50.00	12980829	12980928
ENSMUSG00000004032	49.37	107895821	107898686
ENSMUSG00000028009	40.55	117060522	117077765
ENSMUSG00000065968	43.38	13981702	13986855
ENSMUSG00000081117	40.91	71867988	71868977
ENSMUSG00000047509	40.33	43280798	43281697
ENSMUSG00000058463	42.11	44971794	44972135
ENSMUSG00000001366	44.00	78081499	78109065
ENSMUSG00000055214	41.37	175962306	176275312
ENSMUSG00000050147	56.14	72761880	72763874
ENSMUSG00000034334	42.53	92449622	92484031
ENSMUSG00000026773	47.33	11471433	11554077
ENSMUSG00000086696	38.45	71980477	71999559
ENSMUSG00000068706	50.09	5120602	5121172
ENSMUSG00000035804	49.47	52264323	52265456
ENSMUSG00000032040	46.19	35124408	35176061
ENSMUSG00000031757	50.55	94137204	94139031
ENSMUSG00000069439	53.22	81843343	81843699
ENSMUSG00000041567	48.41	104028769	104044443
ENSMUSG00000094520	50.00	103979176	103980141
ENSMUSG00000078850	43.33	8529135	8529434
ENSMUSG00000021217	46.57	36698118	36773553
ENSMUSG00000053574	45.13	72215138	72218450
ENSMUSG00000071661	54.19	8802530	8804854
ENSMUSG00000075609	59.78	74080234	74081511
ENSMUSG00000055621	45.36	103989102	103990007
ENSMUSG00000038982	45.27	38602709	38635109
ENSMUSG00000041272	39.48	6686353	6991557
ENSMUSG00000095440	62.91	101050194	101054399
ENSMUSG00000031982	48.09	124722139	124734123
ENSMUSG00000071654	53.49	8880016	8880933
ENSMUSG00000093106	59.20	93923187	93923311
ENSMUSG00000096448	48.46	99555836	99556192
ENSMUSG00000084236	46.75	103996000	103996461
ENSMUSG00000098631	45.31	80646073	80646136
ENSMUSG00000104420	40.82	36727177	36729562
ENSMUSG00000086196	42.02	60338188	60371234
ENSMUSG00000092578	47.65	184712497	184718989
ENSMUSG00000074030	49.93	124890300	124897705
ENSMUSG00000098996	54.84	78284788	78284849
ENSMUSG00000073889	50.01	41699989	41769474
ENSMUSG00000102516	47.16	36721846	36725853
ENSMUSG00000104363	39.76	176031079	176032723
ENSMUSG00000104556	38.99	134160365	134191976
ENSMUSG00000056089	54.82	25414192	25414844
ENSMUSG00000028657	44.53	122836242	122859175
ENSMUSG00000080425	43.33	37603415	37603534
ENSMUSG00000029442	47.57	123252102	123327484
ENSMUSG00000089168	34.34	102456563	102456661
ENSMUSG00000031987	49.82	124908596	124949254
ENSMUSG00000101342	45.63	37119993	37128692
ENSMUSG00000078184	39.84	175977777	175979114
ENSMUSG00000028417	43.62	53779705	53788712
ENSMUSG00000106139	39.53	134199948	134213238
ENSMUSG00000096210	54.53	79028212	79030498
ENSMUSG00000055968	73.12	88138079	88138517
ENSMUSG00000050910	52.72	115381916	115396132
ENSMUSG00000103199	43.66	156455290	156457852
ENSMUSG00000079242	51.09	89429589	89430868
ENSMUSG00000021690	40.59	93430097	93499808
ENSMUSG00000087032	42.33	103177787	103186681
ENSMUSG00000086052	41.69	6688169	6704160
ENSMUSG00000069996	50.92	68876790	68877062
ENSMUSG00000020801	44.20	72211724	72215592
ENSMUSG00000085072	49.16	115406586	115408314
ENSMUSG00000046957	48.69	92574631	92576232
ENSMUSG00000015468	54.02	34564268	34588503
ENSMUSG00000084403	45.99	53791070	53791456
ENSMUSG00000091198	55.70	81499084	81499548
ENSMUSG00000024397	52.28	35170991	35176068
ENSMUSG00000027716	42.84	36620482	36690167
ENSMUSG00000044117	43.75	13986604	14101500
ENSMUSG00000063808	46.76	35276536	35318440
ENSMUSG00000039043	48.17	79925361	79935359
ENSMUSG00000104552	36.19	71794186	71794290
ENSMUSG00000094664	48.05	123255481	123255813
ENSMUSG00000086957	45.00	103206209	103210357
ENSMUSG00000095874	41.04	14466268	14466669
ENSMUSG00000087063	49.15	123293638	123310324
ENSMUSG00000096157	51.37	45978358	45980037
ENSMUSG00000036528	45.02	107595051	107748582
ENSMUSG00000025922	46.25	59210908	59211720
ENSMUSG00000073932	49.41	104039798	104040736
ENSMUSG00000027091	39.19	83644435	83664622
ENSMUSG00000084385	49.18	103232538	103232964
ENSMUSG00000001542	39.95	75707484	75772356
ENSMUSG00000064409	45.16	79692502	79692625
ENSMUSG00000025086	46.85	57452906	57491005
ENSMUSG00000083536	51.16	14067403	14068006
ENSMUSG00000089133	49.64	35487400	35487536
ENSMUSG00000102590	39.43	29891014	29924191
ENSMUSG00000084992	46.03	116026411	116029230
ENSMUSG00000021069	46.05	70190811	70231488
ENSMUSG00000029344	53.72	112276691	112315361
ENSMUSG00000094445	38.06	52011683	52015728
ENSMUSG00000009621	51.41	27262104	27427033
ENSMUSG00000040128	44.89	33245423	33290163
ENSMUSG00000077627	45.45	60703992	60704123
ENSMUSG00000082277	43.35	14037734	14038861
ENSMUSG00000021660	42.31	98309896	98317006
ENSMUSG00000065312	44.86	46151698	46151804
ENSMUSG00000031012	38.31	13517080	13851367
ENSMUSG00000094302	46.77	104068085	104069029
ENSMUSG00000070235	44.55	78369248	78369357
ENSMUSG00000032470	48.44	99385420	99437381
ENSMUSG00000102574	39.23	29773466	29893177
ENSMUSG00000082554	51.41	14010762	14011716
ENSMUSG00000029125	44.59	38038742	38137765
ENSMUSG00000090291	61.96	10455371	10457447
ENSMUSG00000085698	53.70	45550534	45551615
ENSMUSG00000088756	45.24	44345650	44345775
ENSMUSG00000021703	45.10	92611138	92711944
ENSMUSG00000087399	42.07	24792680	24800310
ENSMUSG00000095129	45.79	72255350	72255456
ENSMUSG00000106519	45.65	34772075	34782346
ENSMUSG00000066262	45.29	104021372	104022316
ENSMUSG00000096675	46.97	76604319	76604450
ENSMUSG00000089250	43.12	12158333	12158441
ENSMUSG00000100616	47.63	37137011	37140382
ENSMUSG00000079278	46.39	116038755	116083244
ENSMUSG00000105581	55.80	101557197	101557334
ENSMUSG00000069014	43.82	54481438	54482925
ENSMUSG00000024668	42.92	10500513	10525209
ENSMUSG00000106812	52.95	118396806	118397330
ENSMUSG00000095704	49.65	77626074	77626637
ENSMUSG00000080994	55.61	43518464	43519398
ENSMUSG00000033409	46.94	113643213	113655533
ENSMUSG00000100905	47.99	37140541	37141711
ENSMUSG00000053600	40.25	32965814	32979233
ENSMUSG00000064928	39.81	96671793	96671900
ENSMUSG00000094063	50.21	104003259	104004224
ENSMUSG00000065111	40.19	102627779	102627885
ENSMUSG00000105651	43.51	35256462	35276131
ENSMUSG00000031255	40.53	133936385	133981812
ENSMUSG00000102657	38.47	109668869	109677585
ENSMUSG00000098442	58.67	89305658	89305732
ENSMUSG00000099715	46.58	37299265	37304034
ENSMUSG00000082365	46.99	118486967	118503500
ENSMUSG00000084908	37.55	34287771	34304440
ENSMUSG00000092571	42.26	33861302	33864228
ENSMUSG00000029328	47.09	100033577	100039664
ENSMUSG00000088357	47.76	86149584	86149851
ENSMUSG00000106512	57.74	35413833	35414000
ENSMUSG00000092406	35.29	34567730	34568137
ENSMUSG00000096476	54.08	49342248	49342578
ENSMUSG00000040600	49.09	107877229	107892900
ENSMUSG00000088895	38.76	71794188	71794365
ENSMUSG00000041408	37.99	34673928	34747983
ENSMUSG00000094551	44.86	44432595	44432701
ENSMUSG00000055643	53.52	104127912	104129826
ENSMUSG00000041115	45.36	152144268	152225236
ENSMUSG00000083239	39.92	60085840	60088577
ENSMUSG00000095842	49.50	12695124	12695224
ENSMUSG00000029790	43.36	30653457	30693749
ENSMUSG00000070509	50.51	73375520	73419899
ENSMUSG00000094031	46.97	23154734	23154865
ENSMUSG00000066263	46.27	104011750	104012700
ENSMUSG00000065488	43.53	102973350	102973434
ENSMUSG00000081770	43.14	49350522	49351527
ENSMUSG00000106328	59.02	89162848	89162908
ENSMUSG00000104869	40.75	122023830	122027071
ENSMUSG00000031860	48.95	69832491	69872292
ENSMUSG00000042197	41.51	33761545	33814595
ENSMUSG00000085177	50.10	62627677	62633712
ENSMUSG00000064081	60.32	99006056	99006370
ENSMUSG00000049797	47.41	104049408	104050352
ENSMUSG00000039519	38.83	18071950	18243338
ENSMUSG00000025872	46.20	54458837	54468849
ENSMUSG00000076395	58.14	82408458	82408543
ENSMUSG00000101780	42.05	47502456	47531784
ENSMUSG00000065049	48.72	58819323	58819478
ENSMUSG00000087431	37.77	81791909	81798426
ENSMUSG00000062127	45.38	105001915	105053146
ENSMUSG00000053390	42.24	32993129	33005457
ENSMUSG00000087805	39.39	53383919	53383984
ENSMUSG00000106496	39.28	35536882	35537800
ENSMUSG00000073931	49.52	104106281	104107219
ENSMUSG00000032936	52.30	107935674	107949691
ENSMUSG00000087905	40.20	43224625	43224920
ENSMUSG00000031766	51.36	94329192	94366213
ENSMUSG00000107226	33.53	81249249	81252690
ENSMUSG00000065911	53.85	93234363	93234700
ENSMUSG00000105040	45.18	35545894	35546329
ENSMUSG00000004542	48.38	18789567	18798520
ENSMUSG00000092639	47.30	29713331	29713404
ENSMUSG00000104801	37.47	18299310	18304139
ENSMUSG00000098821	67.29	20920214	20920320
ENSMUSG00000051340	47.78	104084131	104085078
ENSMUSG00000041836	47.69	135537824	135686294
ENSMUSG00000037369	35.19	18162575	18279936
ENSMUSG00000088469	47.06	41948997	41949098
ENSMUSG00000081093	52.23	37599424	37600072
ENSMUSG00000083352	36.77	115808537	115809390
ENSMUSG00000096689	43.93	68671416	68671522
ENSMUSG00000096719	40.92	47463806	47528862
ENSMUSG00000031774	44.08	94574943	94601726
ENSMUSG00000087836	43.70	30590287	30590405
ENSMUSG00000039545	49.74	7573600	7581015
ENSMUSG00000089317	45.07	32241853	32241923
ENSMUSG00000095559	46.88	104058656	104059600
ENSMUSG00000084053	54.63	116198189	116198523
ENSMUSG00000095534	42.94	150013712	150015213
ENSMUSG00000077752	44.53	47800673	47800809
ENSMUSG00000019900	36.74	51677756	51730429
ENSMUSG00000085677	49.49	37613913	37615276
ENSMUSG00000065564	51.76	85707319	85707403
ENSMUSG00000029438	50.59	123343834	123374992
ENSMUSG00000096678	54.49	53676141	53676630
ENSMUSG00000046321	44.67	121392296	121501768
ENSMUSG00000105167	46.30	80082847	80082954
ENSMUSG00000010290	42.18	43098710	43115947
ENSMUSG00000018858	49.40	115403752	115412674
ENSMUSG00000081827	44.48	150032993	150034051
ENSMUSG00000099086	63.33	82452421	82452480
ENSMUSG00000054843	42.00	57611034	58133338
ENSMUSG00000103745	48.94	50598069	50598444
ENSMUSG00000088364	35.82	72721321	72721387
ENSMUSG00000090219	39.89	103998800	104137405
ENSMUSG00000042507	50.67	84149176	84218881
ENSMUSG00000092541	38.99	88407432	88456616
ENSMUSG00000106088	53.49	101692211	101692339
ENSMUSG00000046334	43.42	9802197	9802553
ENSMUSG00000093169	48.89	76290879	76290968
ENSMUSG00000103436	48.64	7558602	7605381
ENSMUSG00000056380	50.17	71663667	71669257
ENSMUSG00000096096	51.41	53683647	53684177
ENSMUSG00000088621	39.55	29888341	29888474
ENSMUSG00000102715	39.87	50516399	50607223
ENSMUSG00000035227	43.34	99837569	99858883
ENSMUSG00000084607	40.00	34531714	34531823
ENSMUSG00000102377	57.13	107935077	107936394
ENSMUSG00000045815	61.18	34579202	34579711
ENSMUSG00000056602	44.39	150118645	150497753
ENSMUSG00000024818	52.23	5877808	5885766
ENSMUSG00000096784	49.50	89888952	89889052
ENSMUSG00000102895	46.25	50575186	50576517
ENSMUSG00000066443	50.31	88390837	88391317
ENSMUSG00000104673	38.94	53694573	53694875
ENSMUSG00000083789	48.94	95209773	95211801
ENSMUSG00000097221	74.68	12321438	12321899
ENSMUSG00000098202	42.54	109695586	109702587
ENSMUSG00000009030	42.24	37350074	37359332
ENSMUSG00000021400	42.73	32802038	32822609
ENSMUSG00000092035	44.10	4747306	4760517
ENSMUSG00000048559	61.99	41173701	41173871
ENSMUSG00000080298	41.71	95252916	95253898
ENSMUSG00000094767	45.03	150083529	150085298
ENSMUSG00000095812	46.73	63631697	63632338
ENSMUSG00000081608	51.64	39752259	39752868
ENSMUSG00000096339	45.79	18009263	18009369
ENSMUSG00000045174	50.52	34579657	34590944
ENSMUSG00000032593	56.78	108053159	108055701
ENSMUSG00000025090	41.64	58512002	58553085
ENSMUSG00000066643	41.62	8973892	9028847
ENSMUSG00000105682	57.36	101710274	101710402
ENSMUSG00000095612	47.74	113597446	113597977
ENSMUSG00000098541	47.77	102949776	102949932
ENSMUSG00000100524	40.66	34607297	34607719
ENSMUSG00000086542	42.77	30673944	30682266
ENSMUSG00000092751	55.70	82959218	82959296
ENSMUSG00000072888	35.23	154575228	154579360
ENSMUSG00000099366	43.26	90732924	90733524
ENSMUSG00000048592	40.18	150220716	150226021
ENSMUSG00000099022	61.67	82555116	82555175
ENSMUSG00000071658	51.98	8836929	8839246
ENSMUSG00000102499	36.60	34610572	34610806
ENSMUSG00000040229	37.40	13632089	13640858
ENSMUSG00000088325	51.16	98069752	98069880
ENSMUSG00000101938	49.66	90734145	90734436
ENSMUSG00000042790	43.12	45863425	45906894
ENSMUSG00000095678	43.93	21114369	21114475
ENSMUSG00000082337	51.16	71727657	71727871
ENSMUSG00000104379	41.15	15853331	15856499
ENSMUSG00000095923	46.77	114896238	114896671
ENSMUSG00000030873	48.76	121865111	121918515
ENSMUSG00000065726	49.44	30052379	30052556
ENSMUSG00000082371	35.73	95319819	95321889
ENSMUSG00000084458	61.11	50889025	50889114
ENSMUSG00000087360	41.41	150312601	150333065
ENSMUSG00000089233	52.09	97935285	97935595
ENSMUSG00000086996	45.05	10415301	10417238
ENSMUSG00000080283	37.25	95380371	95382480
ENSMUSG00000073893	41.92	107902627	107903709
ENSMUSG00000021668	40.49	96480689	96542485
ENSMUSG00000028329	45.28	46155347	46196311
ENSMUSG00000106719	44.99	150283995	150299441
ENSMUSG00000065612	57.35	73254815	73254882
ENSMUSG00000103111	42.64	113603460	113603928
ENSMUSG00000098745	56.67	82504596	82504655
ENSMUSG00000081928	63.24	150367713	150367916
ENSMUSG00000041831	46.32	6673458	6738042
ENSMUSG00000078118	44.23	108103279	108104343
ENSMUSG00000107082	47.42	150243863	150244250
ENSMUSG00000066772	41.28	15479825	15639902
ENSMUSG00000099112	56.59	102485908	102486089
ENSMUSG00000105662	37.80	35597152	35666163
ENSMUSG00000103873	46.88	114910011	114910443
ENSMUSG00000107262	57.42	150446782	150447347
ENSMUSG00000095929	42.86	108211583	108212527
ENSMUSG00000071586	47.27	102503722	102503886
ENSMUSG00000032719	42.13	15853862	15892722
ENSMUSG00000043789	49.26	10634233	10665210
ENSMUSG00000017724	52.12	101769742	101785371
ENSMUSG00000088286	42.31	102373880	102373983
ENSMUSG00000080995	58.96	93988318	93988819
ENSMUSG00000107216	43.98	130131327	130131824
ENSMUSG00000065760	35.85	49538195	49538300
ENSMUSG00000098867	64.91	82641945	82642001
ENSMUSG00000036606	56.15	89155549	89171120
ENSMUSG00000103521	45.06	34610908	34612303
ENSMUSG00000094164	51.74	113611187	113611617
ENSMUSG00000030996	50.70	102101743	102111148
ENSMUSG00000050815	45.04	12422265	12423352
ENSMUSG00000026600	43.55	156424525	156474331
ENSMUSG00000095422	42.99	90054409	90054515
ENSMUSG00000084771	39.80	151291974	151344846
ENSMUSG00000024712	44.40	17394043	17401349
ENSMUSG00000104911	49.29	12842096	12842235
ENSMUSG00000043456	46.22	37472135	37773641
ENSMUSG00000056737	49.59	72544391	72562983
ENSMUSG00000023944	50.25	45567775	45573271
ENSMUSG00000104098	57.12	34635544	34636189
ENSMUSG00000033732	42.31	110810492	110846803
ENSMUSG00000037979	47.71	124834418	124862424
ENSMUSG00000073973	48.85	102604356	102605309
ENSMUSG00000106626	49.45	79472381	79472471
ENSMUSG00000031224	47.80	104854952	104857267
ENSMUSG00000102645	43.17	113612989	113613442
ENSMUSG00000092868	56.10	80940039	80940120
ENSMUSG00000100652	45.03	16053335	16053887
ENSMUSG00000081053	44.42	61857321	61857876
ENSMUSG00000084166	44.91	151413668	151414384
ENSMUSG00000095130	47.70	114914599	114915032
ENSMUSG00000081703	51.61	104947785	104948282
ENSMUSG00000031162	47.55	7959260	7978071
ENSMUSG00000082600	52.11	105032586	105033366
ENSMUSG00000087336	45.62	123332726	123344437
ENSMUSG00000098386	38.44	15566485	15566869
ENSMUSG00000052446	43.48	71951038	71993408
ENSMUSG00000020464	36.71	29130744	29161828
ENSMUSG00000093719	46.73	15501822	15502769
ENSMUSG00000094951	47.45	113625506	113625956
ENSMUSG00000097845	49.41	191025350	191029781
ENSMUSG00000104830	45.92	123366472	123368919
ENSMUSG00000028494	44.37	86648386	86670060
ENSMUSG00000040387	40.51	24612554	24851124
ENSMUSG00000098278	37.68	15408520	15408864
ENSMUSG00000102991	44.86	114924941	114925368
ENSMUSG00000106694	41.95	130864448	130867837
ENSMUSG00000032875	52.72	100869746	100932161
ENSMUSG00000102535	45.15	114932371	114932782
ENSMUSG00000024660	47.80	9872297	9899533
ENSMUSG00000031776	47.45	94666755	94674417
ENSMUSG00000075511	45.49	83357526	83367282
ENSMUSG00000063455	46.60	38123174	38254009
ENSMUSG00000086655	47.13	116123614	116129110
ENSMUSG00000085287	47.16	87274886	87282814
ENSMUSG00000031163	45.46	8004200	8018492
ENSMUSG00000100006	47.92	102719977	102727322
ENSMUSG00000058248	46.02	192190774	192510159
ENSMUSG00000026787	41.26	22622205	22693874
ENSMUSG00000097442	46.07	33813203	33833094
ENSMUSG00000086055	50.30	116257661	116258644
ENSMUSG00000065204	39.45	46359036	46359144
ENSMUSG00000006587	53.75	122454206	122460692
ENSMUSG00000038406	54.82	45002948	45016363
ENSMUSG00000086127	42.18	33303569	33310137
ENSMUSG00000015095	57.03	25500750	25505471
ENSMUSG00000086122	45.47	116243706	116254953
ENSMUSG00000056829	66.80	16872316	16873830
ENSMUSG00000074072	45.51	116764144	116765479
ENSMUSG00000037211	54.08	37639947	37644598
ENSMUSG00000098166	45.89	33884774	33885747
ENSMUSG00000089834	48.46	125739406	125739795
ENSMUSG00000021676	44.10	95627177	95891922
ENSMUSG00000068522	46.53	52040107	52045722
ENSMUSG00000034118	45.79	130073326	130135729
ENSMUSG00000000605	46.19	7282316	7299511
ENSMUSG00000078719	54.65	43583216	43584494
ENSMUSG00000075391	48.65	35340409	35340963
ENSMUSG00000029829	47.60	38109255	38115809
ENSMUSG00000066232	38.31	110018425	110055114
ENSMUSG00000104068	41.06	50624347	50628411
ENSMUSG00000075067	45.81	90118667	90119596
ENSMUSG00000005268	40.18	10177238	10349180
ENSMUSG00000061759	44.80	4432467	4455141
ENSMUSG00000102886	38.23	18341667	18461254
ENSMUSG00000035179	52.49	10474257	10482897
ENSMUSG00000009090	48.12	4986824	5042791
ENSMUSG00000044824	55.84	102493823	102494773
ENSMUSG00000028860	54.37	133253090	133263113
ENSMUSG00000038305	43.36	57774162	57948394
ENSMUSG00000029004	38.41	23434441	23504235
ENSMUSG00000021427	43.05	37971401	37994190
ENSMUSG00000104605	50.91	37638579	37640656
ENSMUSG00000075066	44.77	90138211	90139137
ENSMUSG00000098413	70.33	6914196	6914286
ENSMUSG00000086669	52.83	27326704	27331297
ENSMUSG00000058355	37.93	79683442	79711740
ENSMUSG00000102699	38.96	18468287	18480477
ENSMUSG00000049517	45.81	90923131	90924942
ENSMUSG00000025544	40.86	122107038	122159604
ENSMUSG00000042254	49.35	65265180	65280605
ENSMUSG00000025262	39.70	151344175	151471842
ENSMUSG00000051314	52.28	30818348	30823775
